"planner","domain","problem","timesols","values"
"acoplan","transport","000",,
"acoplan","transport","001",,
"acoplan","transport","002",,
"acoplan","transport","003",,
"acoplan","transport","004",,
"acoplan","transport","005",,
"acoplan","transport","006",,
"acoplan","transport","007",,
"acoplan","transport","008",,
"acoplan","transport","009",,
"acoplan","transport","010",,
"acoplan","transport","011",,
"acoplan","transport","012",,
"acoplan","transport","013",,
"acoplan","transport","014",,
"acoplan","transport","015",,
"acoplan","transport","016",,
"acoplan","transport","017",,
"acoplan","transport","018",,
"acoplan","transport","019",,
"acoplan2","transport","000",,
"acoplan2","transport","001",,
"acoplan2","transport","002",,
"acoplan2","transport","003",,
"acoplan2","transport","004",,
"acoplan2","transport","005",,
"acoplan2","transport","006",,
"acoplan2","transport","007",,
"acoplan2","transport","008",,
"acoplan2","transport","009",,
"acoplan2","transport","010",,
"acoplan2","transport","011",,
"acoplan2","transport","012",,
"acoplan2","transport","013",,
"acoplan2","transport","014",,
"acoplan2","transport","015",,
"acoplan2","transport","016",,
"acoplan2","transport","017",,
"acoplan2","transport","018",,
"acoplan2","transport","019",,
"arvand","transport","000","7, 7, 8, 9, 12, 18, 52, 97, 170, 217","6636.0, 2243.0, 1637.0, 1453.0, 1413.0, 1394.0, 1366.0, 1282.0, 1263.0, 1227.0"
"arvand","transport","001","10, 10, 11, 14, 18, 26, 42, 74, 203, 922, 925, 933, 947","10814.0, 2516.0, 1987.0, 1883.0, 1815.0, 1741.0, 1709.0, 1659.0, 1589.0, 1549.0, 1523.0, 1515.0, 1481.0"
"arvand","transport","002","19, 19, 21, 24, 29, 40, 63, 109, 139, 144, 176, 219, 775, 776, 778, 790, 806","36875.0, 6896.0, 5899.0, 5820.0, 5787.0, 5782.0, 5650.0, 5462.0, 5461.0, 4955.0, 4942.0, 4836.0, 4379.0, 4039.0, 4010.0, 3966.0, 3962.0"
"arvand","transport","003","6, 6, 6, 9, 14, 22, 40, 74","26847.0, 4174.0, 3813.0, 3662.0, 3480.0, 3352.0, 3321.0, 3294.0"
"arvand","transport","004","11, 11, 12, 14, 18, 26, 42, 74, 319, 321, 324, 331, 345, 374","36984.0, 5266.0, 4729.0, 4607.0, 4553.0, 4521.0, 4301.0, 4269.0, 4003.0, 3979.0, 3966.0, 3954.0, 3947.0, 3901.0"
"arvand","transport","005","16, 16, 18, 21, 27, 63, 111, 151, 154, 168, 188, 227, 907, 944, 1167","41651.0, 6832.0, 5803.0, 5719.0, 5691.0, 5659.0, 5494.0, 4638.0, 4580.0, 4543.0, 4443.0, 4267.0, 4039.0, 4014.0, 3747.0"
"arvand","transport","006","77, 77, 79, 83, 92, 108, 141, 393, 401, 450, 513, 974, 978, 986, 1001, 1092","49824.0, 8388.0, 7387.0, 7328.0, 7266.0, 7242.0, 7190.0, 7177.0, 7164.0, 7149.0, 6893.0, 6544.0, 6499.0, 6442.0, 6398.0, 6344.0"
"arvand","transport","007","13, 13, 15, 18, 24, 35, 58, 105, 139, 149, 169, 207, 1268, 1270, 1274, 1283, 1300, 1334","10614.0, 2871.0, 2258.0, 2142.0, 2060.0, 2010.0, 1979.0, 1919.0, 1904.0, 1875.0, 1834.0, 1813.0, 1762.0, 1638.0, 1613.0, 1575.0, 1512.0, 1485.0"
"arvand","transport","008","29, 29, 32, 37, 46, 104","55117.0, 7366.0, 6597.0, 6573.0, 6501.0, 6281.0"
"arvand","transport","009","352, 352, 354, 358, 365, 381, 410, 470","79302.0, 7194.0, 6765.0, 6752.0, 6743.0, 6445.0, 6393.0, 6339.0"
"arvand","transport","010","18, 18, 20, 23, 30, 73, 125","11691.0, 2835.0, 2342.0, 2339.0, 2338.0, 2142.0, 2096.0"
"arvand","transport","011","14, 14, 16, 20, 27, 41, 69, 122, 893, 945","11841.0, 3083.0, 2274.0, 2105.0, 2044.0, 2016.0, 2004.0, 1933.0, 1913.0, 1898.0"
"arvand","transport","012","15, 16, 18, 22, 30, 46, 79","14967.0, 3671.0, 2898.0, 2749.0, 2692.0, 2650.0, 2599.0"
"arvand","transport","013",,
"arvand","transport","014",,
"arvand","transport","015",,
"arvand","transport","016",,
"arvand","transport","017","437, 437, 444, 456, 481, 529, 627","34846.0, 6560.0, 5902.0, 5801.0, 5772.0, 5749.0, 5717.0"
"arvand","transport","018",,
"arvand","transport","019","1485, 1486, 1499, 1520, 1561, 1641, 1799","40429.0, 7841.0, 6686.0, 6477.0, 6366.0, 6293.0, 6238.0"
"brt","transport","000","15","2261.0"
"brt","transport","001","18, 21, 25, 42, 89","1982.0, 1608.0, 1338.0, 1235.0, 1000.0"
"brt","transport","002","35","9065.0"
"brt","transport","003","28","7554.0"
"brt","transport","004","35","6524.0"
"brt","transport","005","45","6355.0"
"brt","transport","006","53","11317.0"
"brt","transport","007","23, 63, 74","2265.0, 1983.0, 1758.0"
"brt","transport","008","56","8940.0"
"brt","transport","009","30","8409.0"
"brt","transport","010","71, 127","2704.0, 2246.0"
"brt","transport","011","53","3080.0"
"brt","transport","012","32","3396.0"
"brt","transport","013",,
"brt","transport","014","1492","12147.0"
"brt","transport","015","1065","14977.0"
"brt","transport","016",,
"brt","transport","017","701","8432.0"
"brt","transport","018","957","8391.0"
"brt","transport","019",,
"cbp","transport","000","1, 11, 11, 834, 979, 980, 988","5034.0, 3091.0, 2525.0, 2487.0, 2478.0, 2415.0, 1930.0"
"cbp","transport","001","1, 16, 20, 36, 51, 1209, 1275, 1488","5479.0, 3461.0, 3416.0, 2904.0, 2597.0, 2540.0, 2394.0, 2303.0"
"cbp","transport","002","49, 63, 82, 119, 210","16351.0, 15274.0, 15081.0, 11297.0, 10198.0"
"cbp","transport","003","1, 6, 9, 14, 609, 1148, 1464","7704.0, 7700.0, 7633.0, 6578.0, 5809.0, 5092.0, 4992.0"
"cbp","transport","004","66, 70, 84, 85, 90, 90","15897.0, 15724.0, 13989.0, 13854.0, 13291.0, 13255.0"
"cbp","transport","005","41, 81, 170, 171, 172","11475.0, 10990.0, 10398.0, 8979.0, 8687.0"
"cbp","transport","006","21, 41, 283, 283, 322, 326","19711.0, 17353.0, 16778.0, 16664.0, 16515.0, 15190.0"
"cbp","transport","007","2, 18, 22","4381.0, 3735.0, 2996.0"
"cbp","transport","008",,
"cbp","transport","009","43, 130, 147","17080.0, 13132.0, 11852.0"
"cbp","transport","010","2, 38, 165, 168, 178","6485.0, 5925.0, 5334.0, 5248.0, 5183.0"
"cbp","transport","011","19, 23, 24, 130, 151","10562.0, 8075.0, 6102.0, 5259.0, 4783.0"
"cbp","transport","012","55, 61, 73, 87, 92, 393, 475, 593","11935.0, 11029.0, 10507.0, 10356.0, 8181.0, 8083.0, 7810.0, 7173.0"
"cbp","transport","013","1028","32742.0"
"cbp","transport","014",,
"cbp","transport","015",,
"cbp","transport","016","1253, 1356, 1562","45667.0, 45278.0, 36120.0"
"cbp","transport","017","34, 395, 540, 1470, 1769","18773.0, 18599.0, 16517.0, 14412.0, 13026.0"
"cbp","transport","018","55, 731, 835, 937","49492.0, 29591.0, 25086.0, 21320.0"
"cbp","transport","019","921","23939.0"
"cbp2","transport","000","5, 61, 81, 1664","2224.0, 2031.0, 1875.0, 1831.0"
"cbp2","transport","001","12, 127, 137, 147, 328","2176.0, 2080.0, 2002.0, 1909.0, 1905.0"
"cbp2","transport","002","15, 201, 213, 336","9077.0, 7826.0, 6973.0, 6873.0"
"cbp2","transport","003","1, 8, 19, 637, 644, 644, 645, 908","5912.0, 4865.0, 4831.0, 4747.0, 4486.0, 4482.0, 4363.0, 4340.0"
"cbp2","transport","004","3, 23, 34, 587, 620, 668, 729","6239.0, 6182.0, 5986.0, 5818.0, 5702.0, 5675.0, 5666.0"
"cbp2","transport","005","8, 83","6978.0, 5650.0"
"cbp2","transport","006","70, 104","7760.0, 7452.0"
"cbp2","transport","007","15, 239, 251","2280.0, 2263.0, 1850.0"
"cbp2","transport","008","19, 183, 209, 234, 351","9372.0, 8440.0, 8229.0, 7375.0, 7017.0"
"cbp2","transport","009","25, 362, 386","9150.0, 9057.0, 7851.0"
"cbp2","transport","010","25, 518, 582","3356.0, 3133.0, 2918.0"
"cbp2","transport","011","23, 357, 378, 577, 592, 726","3267.0, 3186.0, 3010.0, 2880.0, 2753.0, 2733.0"
"cbp2","transport","012","33, 480, 512, 795, 910","5003.0, 4006.0, 3859.0, 3730.0, 3448.0"
"cbp2","transport","013","142, 1248","10624.0, 9960.0"
"cbp2","transport","014","133, 1199, 1738","10445.0, 10028.0, 9989.0"
"cbp2","transport","015","112, 1157","11662.0, 11412.0"
"cbp2","transport","016","618","11564.0"
"cbp2","transport","017","504","8827.0"
"cbp2","transport","018","849","9058.0"
"cbp2","transport","019","726","8320.0"
"cpt4","transport","000",,
"cpt4","transport","001",,
"cpt4","transport","002",,
"cpt4","transport","003",,
"cpt4","transport","004",,
"cpt4","transport","005",,
"cpt4","transport","006",,
"cpt4","transport","007",,
"cpt4","transport","008",,
"cpt4","transport","009",,
