"planner","domain","problem","solved","oksolved"
"acoplan","transport","000",0,0
"acoplan","transport","001",0,0
"acoplan","transport","002",0,0
"acoplan","transport","003",0,0
"acoplan","transport","004",0,0
"acoplan","transport","005",0,0
"acoplan","transport","006",0,0
"acoplan","transport","007",0,0
"acoplan","transport","008",0,0
"acoplan","transport","009",0,0
"acoplan","transport","010",0,0
"acoplan","transport","011",0,0
"acoplan","transport","012",0,0
"acoplan","transport","013",0,0
"acoplan","transport","014",0,0
"acoplan","transport","015",0,0
"acoplan","transport","016",0,0
"acoplan","transport","017",0,0
"acoplan","transport","018",0,0
"acoplan","transport","019",0,0
"acoplan2","transport","000",0,0
"acoplan2","transport","001",0,0
"acoplan2","transport","002",0,0
"acoplan2","transport","003",0,0
"acoplan2","transport","004",0,0
"acoplan2","transport","005",0,0
"acoplan2","transport","006",0,0
"acoplan2","transport","007",0,0
"acoplan2","transport","008",0,0
"acoplan2","transport","009",0,0
"acoplan2","transport","010",0,0
"acoplan2","transport","011",0,0
"acoplan2","transport","012",0,0
"acoplan2","transport","013",0,0
"acoplan2","transport","014",0,0
"acoplan2","transport","015",0,0
"acoplan2","transport","016",0,0
"acoplan2","transport","017",0,0
"acoplan2","transport","018",0,0
"acoplan2","transport","019",0,0
"arvand","transport","000",1,1
"arvand","transport","001",1,1
"arvand","transport","002",1,1
"arvand","transport","003",1,1
"arvand","transport","004",1,1
"arvand","transport","005",1,1
"arvand","transport","006",1,1
"arvand","transport","007",1,1
"arvand","transport","008",1,1
"arvand","transport","009",1,1
"arvand","transport","010",1,1
"arvand","transport","011",1,1
"arvand","transport","012",1,1
"arvand","transport","013",0,0
"arvand","transport","014",0,0
"arvand","transport","015",0,0
"arvand","transport","016",0,0
"arvand","transport","017",1,1
"arvand","transport","018",0,0
"arvand","transport","019",1,1
"brt","transport","000",1,1
"brt","transport","001",1,1
"brt","transport","002",1,1
"brt","transport","003",1,1
"brt","transport","004",1,1
"brt","transport","005",1,1
"brt","transport","006",1,1
"brt","transport","007",1,1
"brt","transport","008",1,1
"brt","transport","009",1,1
"brt","transport","010",1,1
"brt","transport","011",1,1
"brt","transport","012",1,1
"brt","transport","013",0,0
"brt","transport","014",1,1
"brt","transport","015",1,1
"brt","transport","016",0,0
"brt","transport","017",1,1
"brt","transport","018",1,1
"brt","transport","019",0,0
"cbp","transport","000",1,1
"cbp","transport","001",1,1
"cbp","transport","002",1,1
"cbp","transport","003",1,1
"cbp","transport","004",1,1
"cbp","transport","005",1,1
"cbp","transport","006",1,1
"cbp","transport","007",1,1
"cbp","transport","008",0,0
"cbp","transport","009",1,1
