,arvandherd,dae_yahsp,ibacop,ibacop2,miplan,nucelar,planets,use,yahsp3-mt
p01,1,0,1,1,1,1,0,1,1
p02,1,0,1,1,1,0,0,1,1
p03,1,0,1,1,1,1,0,1,1
p04,0,0,0,1,0,0,0,0,1
p05,0,0,0,1,0,0,0,0,1
p06,0,0,0,0,0,0,0,0,1
p07,0,0,0,0,0,0,0,1,1
p08,0,0,0,0,0,0,0,0,1
p09,0,0,0,0,0,0,0,1,1
p10,0,0,0,0,0,0,0,0,1
p11,1,0,1,1,1,1,0,1,1
p12,1,1,0,1,1,0,0,1,1
p13,1,0,1,1,1,1,0,1,1
p14,0,0,0,0,0,0,0,0,1
p15,0,0,0,0,0,0,0,0,1
p16,0,0,0,1,0,0,0,0,1
p17,0,0,0,0,0,0,0,0,1
p18,0,0,0,0,0,0,0,0,1
p19,0,0,0,0,0,0,0,1,1
p20,0,0,0,0,0,0,0,0,1
,6,1,5,9,6,4,0,9,20
