,arvandherd,fdss-2014,miplan,use,bfs-f,freelunch,yahsp3,bifd,ibacop,nucelar,yahsp3-mt,cedalion,ibacop2,planets,dae_yahsp,jasper,rpt,dpmplan,mercury,uniform,best
p01,"0.67","0.68",0,"0.48","0.58",0,"0.29","0.44","0.64",0,"0.43","0.58","0.64",0,"0.44","0.79","0.44",0,1,"0.66",1309
p02,"0.79","0.64",0,"0.35","0.67",0,"0.4","0.43","0.36",0,"0.5","0.61","0.52",0,"0.32","0.97","0.43",0,1,"0.73",2125
p03,"0.82","0.77",0,"0.39","0.56",0,"0.36","0.62","0.58",0,"0.47","0.53","0.58",0,"0.37","0.84","0.43",0,1,"0.82",1539
p04,0,0,0,"0.48",0,0,"0.58",0,"0.64",0,"0.69","0.45","0.64",0,"0.6",0,0,0,1,"0.46",5678
p05,0,0,0,0,0,0,"0.4",0,"0.44",0,"0.57","0.4","0.44",0,"0.49",0,0,0,1,"0.39",6235
p06,0,0,0,"0.48",0,0,"0.58",0,"0.64",0,"0.69","0.45","0.64",0,"0.6",0,0,0,1,"0.46",5678
p07,0,0,0,"0.59",0,0,"0.41",0,"0.41",0,"0.62",0,0,0,"0.46","0.75",0,0,1,0,4839
p08,0,0,0,0,0,0,"0.36",0,"0.35",0,"0.52",0,0,0,"0.49",0,0,0,1,0,4467
p09,0,0,0,"0.59",0,0,"0.41",0,"0.41",0,"0.63",0,0,0,"0.46","0.75",0,0,1,0,4839
p10,0,0,0,"0.43",0,0,"0.46",0,"0.56",0,"0.55",0,0,0,"0.37",0,"0.48",0,1,"0.53",4626
p11,"0.75","0.69",0,"0.4","0.66",0,"0.38","0.52","0.62",0,"0.55","0.55","0.61",0,"0.55","0.71","0.52",0,1,"0.64",1336
p12,"0.85","0.67",0,"0.42","0.58",0,"0.33","0.48","0.65",0,"0.45","0.22","0.65",0,"0.43","0.89","0.48",0,1,"0.77",1641
p13,"0.65","0.6",0,"0.35","0.53",0,"0.19","0.35","0.55",0,"0.31","0.55","0.52",0,"0.33","0.67","0.35",0,1,"0.58",1147
p14,0,0,0,0,0,0,"0.51",0,"0.56",0,"0.64","0.42","0.56",0,"0.48",0,0,0,1,"0.43",5974
p15,0,0,0,"0.4",0,0,"0.43",0,"0.41",0,"0.45",0,"0.41",0,"0.42",0,0,0,1,"0.38",5320
p16,0,0,0,"0.48",0,0,"0.34",0,"0.43",0,"0.55","0.39","0.43",0,"0.51","0.5",0,0,1,"0.4",4695
p17,0,0,0,0,0,0,"0.43",0,"0.47",0,"0.56",0,0,0,"0.46",0,0,0,1,"0.47",4540
p18,0,0,0,0,0,0,"0.38",0,"0.45",0,"0.46",0,0,0,"0.48",0,0,0,1,"0.55",4840
p19,0,0,0,"0.43",0,0,"0.34","0.68","0.36",0,"0.53",0,"0.36",0,"0.32","0.7","0.45",0,1,"0.52",3881
p20,0,0,0,0,0,0,"0.43",0,"0.4",0,"0.58",0,0,0,"0.44",0,0,0,1,"0.46",3853
,"4.53","4.06",0,"6.27","3.57","0.02","8.03","3.52","9.94",0,"10.74","5.14","7.01",0,"9.02","7.59","3.57",0,20,"9.25",
