,arvandherd,fdss-2014,miplan,use,bfs-f,freelunch,yahsp3,bifd,ibacop,nucelar,yahsp3-mt,cedalion,ibacop2,planets,dae_yahsp,jasper,rpt,dpmplan,mercury,uniform
p01,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p02,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p03,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p04,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
p05,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
p06,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
p07,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
p08,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
p09,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
p10,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1
p11,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p12,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p13,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
p14,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1
p15,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
p16,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1
p17,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
p18,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
p19,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1
p20,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
,6,6,0,14,6,6,20,7,20,0,20,11,13,0,20,10,8,0,20,17
