Problem,Vehicles,Packages,Cities,Locations,Roads,Stateslat
1,4,25,1,50,200,$10^{50}$\\
2,4,30,1,53,212,$10^{59}$\\
3,4,25,1,53,212,$10^{50}$\\
4,4,25,2,136,512,$10^{62}$\\
5,4,30,2,134,536,$10^{72}$\\
6,4,25,2,136,512,$10^{62}$\\
7,4,25,3,204,764,$10^{67}$\\
8,4,30,3,201,796,$10^{78}$\\
9,4,25,3,204,764,$10^{67}$\\
10,4,25,3,198,794,$10^{66}$\\\midrule
11,5,25,1,60,238,$10^{54}$\\
12,4,30,1,63,254,$10^{61}$\\
13,3,25,1,63,254,$10^{50}$\\
14,5,25,2,120,454,$10^{62}$\\
15,4,30,2,124,500,$10^{71}$\\
16,3,25,2,124,500,$10^{58}$\\
17,5,25,3,180,696,$10^{67}$\\
18,4,30,3,189,764,$10^{77}$\\
19,3,25,3,189,764,$10^{63}$\\
20,5,25,3,198,794,$10^{69}$
